vfx,asefile,script,initialai,statetable,asetag,loopframe,spriteoriginx,spriteoriginy,lifetime,velz,speed,conearc,gravity,color,animationspeed,shadowcolor,animationdirections
afterimage,,Dragontail.Character.Common,afterimage,data/st_objects.csv,,,,,,,,,,,0,0,
spark-hit,sprites/vfx.jase,Dragontail.Character.Common,spark,data/st_objects.csv,hit,0,109,59,6,,,,,,,,
spark-guard,sprites/vfx.jase,Dragontail.Character.Common,spark,data/st_objects.csv,guard,0,106,34,9,,,,,,,,
spark-bighit,sprites/vfx.jase,Dragontail.Character.Common,spark,data/st_objects.csv,bighit,0,98,58,9,,,,,,,,
spark-fall-down-dust,sprites/vfx/dust-on-person-fall.jase,Dragontail.Character.Common,spark,data/st_objects.csv,Complete,0,32,24,24,0.5,,,,,,,
spark-stone-shatter,sprites/weapons/stone.jase,Dragontail.Character.Common,spark,data/st_objects.csv,Shatter,0,8,8,12,,,,,,,,
particle-blood,sprites/vfx.jase,Dragontail.Character.Common,shrinkOut,data/st_objects.csv,liquid,,3,3,30,,3,0.392699081698724,0.125,4290772992,,,
particle-hit-sweat,sprites/vfx.jase,Dragontail.Character.Common,shrinkOut,data/st_objects.csv,liquid,,3,3,6,,4,1.0471975511966,,,,,
particle,sprites/vfx.jase,Dragontail.Character.Common,shrinkOut,data/st_objects.csv,liquid,,3,3,30,,,,0.125,,,,
spark-land-on-feet-dust,sprites/vfx/dust-land-on-feet.jase,Dragontail.Character.Common,spark,data/st_objects.csv,*,0,12,6,21,,,,,,,,
spark-fireball-shatter,sprites/rose-fireball.jase,Dragontail.Character.Common,spark,data/st_objects.csv,Shatter,0,32,40,15,,,,,,,,
spark-spit-fireball,sprites/rose-fireball.jase,Dragontail.Character.Common,spark,data/st_objects.csv,Spit,0,32,32,9,,1,,,,,,12
