filename,notes,authors,licenses,urls
body/bodies/muscular/amber.png,"see details at https://opengameart.org/content/lpc-character-bases","bluecarrot16,JaidynReiman,Evert,TheraHedwig,MuffinElZangano,Durrani,Sander Frenken (castelonia),Benjamin K. Smith (BenCreating),Eliza Wyatt (ElizaWy),dalonedrau,Stephen Challener (Redshrike)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-barbarian-sprite-base,https://opengameart.org/content/lpc-muscular-swing-animation,https://opengameart.org/content/lpc-muscular-hurt-animation,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani"
head/heads/human/male_plump/amber.png,"original head by Redshrike, plump version by ??","Stephen Challener (Redshrike),??","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-folk"
eyes/human/adult/default/brown.png,"original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman,Matthew Krohn (makrohn),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
head/nose/large/adult/amber.png,"","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head/Head%20Overlay%2001%20-%20Large%20Nose,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
head/wrinkles/amber.png,"","bluecarrot16","CC0",""
beards/mustache/basic/black.png,"Original by Nemisys, repositioning by JaidynReiman.","JaidynReiman,Carlo Enrico Victoria (Nemisys)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-brunet-mustache"
hair/shorthawk/adult/black.png,"","JaidynReiman,Manuel Riecke (MrBeast)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-expanded-hair"
facial/patches/eyepatch/left/adult/black.png,"","bluecarrot16","OGA-BY 3.0,GPL 3.0","https://opengameart.org/content/lpc-pirates,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
facial/earrings/simple/left/adult/gold.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-pirates"
facial/earrings/simple/right/adult/gold.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-pirates"
bauldron/male/tan.png,"","Nila122","GPL 2.0,GPL 3.0,OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
arms/bracers/male/copper.png,"","Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
legs/skirts/legion/male/yellow.png,"original by Nila122 to legion, adapted to v3 bases by bluecarrot16","bluecarrot16,Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-roman-armor,http://opengameart.org/content/lpc-clothing-updates"
feet/boots/fold/male/brown.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
feet/accessory/plate_toe/male/steel.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/polearm/trident/foreground/walk/iron.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/background/walk/iron.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/foreground/thrust/iron.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/background/thrust/iron.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
