id,enabled,rename,frametime
spellcast,true,spellcast,100
thrust,true,thrust,100
thrustWindup,true,thrustWindup,n/a
thrustAttack,true,thrustAttack,n/a
walk,true,walk,100
walkStand,true,walkStand,n/a
walkMove,true,walkMove,n/a
slash,true,slash,100
slashWindup,true,slashWindup,n/a
slashAttack,true,slashAttack,n/a
shoot,true,shoot,100
shootWindup,true,shootWindup,n/a
shootAttack,true,shootAttack,n/a
hurt,true,hurt,100
hurtKnees,true,hurtKnees,n/a
hurtFlat,true,hurtFlat,n/a
hurtRiseToKnees,true,hurtRiseToKnees,n/a
hurtRiseToFeet,true,hurtRiseToFeet,n/a
climb,true,climb,100
idle,true,idle,100
jump,true,jump,100
sit,true,sit,100
sitGroundMasc,true,sitGroundMasc,n/a
sitGroundFem,true,sitGroundFem,n/a
sitChair,true,sitChair,n/a
emote,true,emote,100
emoteHandsOnHips,true,emoteHandsOnHips,n/a
emoteHandsBehindBack,true,emoteHandsBehindBack,n/a
emoteSurprised,true,emoteSurprised,n/a
run,true,run,100
combat_idle,true,combat_idle,100
backslash,true,backslash,100
backslashWindup,true,backslashWindup,n/a
backslashAttack,true,backslashAttack,n/a
backslashBackWindup,true,backslashBackWindup,n/a
backslashBackAttack,true,backslashBackAttack,n/a
halfslash,true,halfslash,100
halfslashWindup,true,halfslashWindup,n/a
halfslashAttack,true,halfslashAttack,n/a
wheelchair,true,wheelchair,100
tool_rod,true,tool_rod,100
slash_128,true,slash_128,100
slash_128Windup,true,slash_128Windup,n/a
slash_128Attack,true,slash_128Attack,n/a
backslash_128,true,backslash_128,100
backslash_128Windup,true,backslash_128Windup,n/a
backslash_128Attack,true,backslash_128Attack,n/a
backslash_128BackWindup,true,backslash_128BackWindup,n/a
backslash_128BackAttack,true,backslash_128BackAttack,n/a
halfslash_128,true,halfslash_128,100
halfslash_128Windup,true,halfslash_128Windup,n/a
halfslash_128Attack,true,halfslash_128Attack,n/a
thrust_oversize,true,thrust_oversize,100
thrust_oversizeWindup,true,thrust_oversizeWindup,n/a
thrust_oversizeAttack,true,thrust_oversizeAttack,n/a
slash_oversize,true,slash_oversize,100
slash_oversizeWindup,true,slash_oversizeWindup,n/a
slash_oversizeAttack,true,slash_oversizeAttack,n/a
walk_128,true,walk_128,100
walk_128Stand,true,walk_128Stand,n/a
walk_128Move,true,walk_128Move,n/a
thrust_128,true,thrust_128,100
thrust_128Windup,true,thrust_128Windup,n/a
thrust_128Attack,true,thrust_128Attack,n/a
slash_reverse_oversize,true,slash_reverse_oversize,100
whip_oversize,true,whip_oversize,100
tool_whip,true,tool_whip,100
