id,enabled,rename,frametime
spellcast,true,Cast,50
thrust,true,Thrust,50
thrustWindup,true,ThrustWindup,n/a
thrustAttack,true,ThrustAttack,n/a
walk,true,_,50
walkStand,true,Stand,n/a
walkMove,true,Walk,n/a
slash,true,Swing,50
slashWindup,true,SwingWindup,n/a
slashAttack,true,SwingAttack,n/a
shoot,true,Shoot,50
shootWindup,true,ShootWindup,n/a
shootAttack,true,ShootAttack,n/a
hurt,true,Fall,50
hurtKnees,true,FallKnees,n/a
hurtFlat,true,FallFlat,n/a
hurtRiseToKnees,true,FallRiseToKnees,n/a
hurtRiseToFeet,true,FallRiseToFeet,n/a
climb,true,climb,50
idle,true,idle,50
jump,true,jump,50
sit,true,sit,50
sitGroundMasc,true,sitGroundMasc,n/a
sitGroundFem,true,sitGroundFem,n/a
sitChair,true,sitChair,n/a
emote,true,emote,50
emoteHandsOnHips,true,emoteHandsOnHips,n/a
emoteHandsBehindBack,true,emoteHandsBehindBack,n/a
emoteSurprised,true,emoteSurprised,n/a
run,true,run,50
combat_idle,true,combat_idle,50
backslash,true,backSwing,50
backslashWindup,true,backSwingWindup,n/a
backslashAttack,true,backSwingAttack,n/a
backslashBackWindup,true,backSwingBackWindup,n/a
backslashBackAttack,true,backSwingBackAttack,n/a
halfslash,true,halfSwing,50
halfslashWindup,true,halfSwingWindup,n/a
halfslashAttack,true,halfSwingAttack,n/a
wheelchair,true,wheelchair,50
tool_rod,true,tool_rod,50
slash_128,true,Swing,50
slash_128Windup,true,SwingWindup,n/a
slash_128Attack,true,SwingAttack,n/a
backslash_128,true,backSwing,50
backslash_128Windup,true,backSwingWindup,n/a
backslash_128Attack,true,backSwingAttack,n/a
backslash_128BackWindup,true,backSwingBackWindup,n/a
backslash_128BackAttack,true,backSwingBackAttack,n/a
halfslash_128,true,halfSwing,50
halfslash_128Windup,true,halfSwingWindup,n/a
halfslash_128Attack,true,halfSwingAttack,n/a
thrust_oversize,true,Thrust,50
thrust_oversizeWindup,true,ThrustWindup,n/a
thrust_oversizeAttack,true,ThrustAttack,n/a
slash_oversize,true,Swing_oversize,50
slash_oversizeWindup,true,Swing_oversizeWindup,n/a
slash_oversizeAttack,true,Swing_oversizeAttack,n/a
walk_128,true,,50
walk_128Stand,true,Stand,n/a
walk_128Move,true,Walk,n/a
thrust_128,true,Thrust,50
thrust_128Windup,true,ThrustWindup,n/a
thrust_128Attack,true,ThrustAttack,n/a
slash_reverse_oversize,true,Swing_reverse_oversize,50
whip_oversize,true,whip_oversize,50
tool_whip,true,tool_whip,50
